lat,lon,densidade,densidade_baseline
-23.70653020134228,-46.826,8056.350761041855,2234.7752941371195
-23.702161073825504,-46.826,8148.528072495711,2238.481331777177
-23.697791946308723,-46.826,8238.03836597374,2242.0002634062516
-23.693422818791944,-46.826,8324.766359341262,2245.3311858243483
-23.689053691275166,-46.826,8408.599083060357,2248.4732430593276
-23.68468456375839,-46.826,8489.426115511516,2251.4256267332285
-23.68031543624161,-46.826,8567.139815942995,2254.1875764085694
-23.675946308724832,-46.826,8641.635554397519,2256.75837991457
-23.67157718120805,-46.826,8712.811937964769,2259.137373652958
-23.66720805369128,-46.826,8780.571032710599,2261.3239428831957
-23.66283892617449,-46.826,8844.818580634515,2263.317521987101
-23.65846979865772,-46.826,8905.464211016502,2265.1175947124216
-23.654100671140935,-46.826,8962.421645518467,2266.723694395567
-23.64973154362416,-46.826,9015.608896418393,2268.135404163021
-23.645362416107385,-46.826,9064.948457366476,2269.352357111584
-23.640993288590604,-46.826,9110.367486067456,2270.374236467161
-23.636624161073826,-46.826,9151.797978311277,2271.2007757220804
-23.632255033557048,-46.826,9189.176932791215,2271.8317587508695
-23.627885906040262,-46.826,9222.446506173044,2272.267019904348
-23.623516778523488,-46.826,9251.554157898836,2272.5064440820306
-23.61914765100671,-46.826,9276.452784238309,2272.5499667828253
-23.61477852348993,-46.826,9297.100841124951,2272.397574133926
-23.610409395973157,-46.826,9313.462455345709,2272.049302897893
-23.606040268456372,-46.826,9325.507523683858,2271.5052404579915
-23.6016711409396,-46.826,9333.211799647725,2270.765524781721
-23.59730201342282,-46.826,9336.556967453387,2269.8303443625214
-23.59293288590604,-46.826,9335.53070296484,2268.6999381398555
-23.58856375838926,-46.826,9330.12672133411,2267.3745953975204
-23.58419463087248,-46.826,9320.34481112236,2265.8546556403558
-23.579825503355703,-46.826,9306.190854723603,2264.1405084494177
-23.575456375838925,-46.826,9287.676834953358,2262.2325933156562
-23.571087248322147,-46.826,9264.820827708958,2260.1313994522798
-23.56671812080537,-46.826,9237.646980647503,2257.837465585818
-23.56234899328859,-46.826,9206.185477875524,2255.3513797260525
-23.557979865771813,-46.826,9170.472490684915,2252.6737789150206
-23.55361073825503,-46.826,9130.550114415228,2249.8053489550975
-23.549241610738253,-46.826,9086.466291567422,2246.746824116444
-23.544872483221475,-46.826,9038.274721337157,2243.4989868239677
-23.540503355704697,-46.826,8986.034755779903,2240.0626673238953
-23.53613422818792,-46.826,8929.811282864572,2236.438743330328
-23.53176510067114,-46.826,8869.674596714016,2232.6281396517825
-23.527395973154363,-46.826,8805.700255372612,2228.631827798133
-23.523026845637585,-46.826,8737.9689264837,2224.4508255680526
-23.518657718120803,-46.826,8666.56622129772,2220.0861966172524
-23.514288590604025,-46.826,8591.582517470943,2215.539050007801
-23.509919463087247,-46.826,8513.112771151313,2210.8105397387176
-23.50555033557047,-46.826,8431.25631888544,2205.9018642581937
-23.50118120805369,-46.826,8346.116669909234,2200.8142659576647
-23.496812080536916,-46.826,8257.801289421654,2195.5490306480983
-23.49244295302013,-46.826,8166.421373466774,2190.1074870187545
-23.48807382550336,-46.826,8072.0916160772,2184.4910060787847
-23.48370469798657,-46.826,7974.929969357384,2178.7010005818524
-23.4793355704698,-46.826,7875.057397206719,2172.7389244344677
-23.47496644295302,-46.826,7772.597623401474,2166.606272087816
-23.47059731543624,-46.826,7667.676874772965,2160.304577914105
-23.466228187919462,-46.826,7560.42362023177,2153.8354155671855
-23.461859060402684,-46.826,7450.968306400012,2147.200397328236
-23.457489932885903,-46.826,7339.44309062241,2140.4011734367027
-23.453120805369128,-46.826,7225.981572130413,2133.439431406906
-23.44875167785235,-46.826,7110.718522138971,2126.316895330738
-23.44438255033557,-46.826,6993.789613652295,2119.0353251668453
-23.44001342281879,-46.826,6875.3311517538095,2111.596516016732
-23.43564429530201,-46.826,6755.479805146753,2104.002297388089
-23.431275167785238,-46.826,6634.372339705046,2096.2545324459775
-23.426906040268456,-46.826,6512.145354780058,2088.355117251985
-23.42253691275168,-46.826,6388.935022994455,2080.3059799922435
-23.4181677852349,-46.826,6264.876834237076,2072.109080194192
-23.41379865771812,-46.826,6140.105344551544,2063.7664079330516
-23.40942953020134,-46.826,6014.75393058906,2055.2799830280646
-23.40506040268456,-46.826,5888.954550270807,2046.6518542292117
-23.400691275167784,-46.826,5762.837510276007,2037.8840983947478
-23.39632214765101,-46.826,5636.531240944363,2028.9788196599523
-23.391953020134228,-46.826,5510.162079148011,2019.9381485977606
-23.38758389261745,-46.826,5383.854059654586,2010.7642413716253
-23.38321476510067,-46.826,5257.728715468414,2001.4592788809362
-23.378845637583893,-46.826,5131.904887598811,1992.0254658997726
-23.37447651006711,-46.826,5006.498544667093,1982.4650302092061
-23.370107382550334,-46.826,4881.62261272442,1972.7802217238163
-23.36573825503356,-46.826,4757.386815609789,1962.9733116126858
-23.361369127516777,-46.826,4633.897526140999,1953.0465914155566
-23.357,-46.826,4511.257628384662,1943.0023721545967
-24.008,-46.82290604026846,1273.946309652874,1621.513368014855
-24.00363087248322,-46.82290604026846,1328.2106173221796,1633.8902447350802
-23.999261744966443,-46.82290604026846,1384.185032989216,1646.2197415321352
-23.994892617449665,-46.82290604026846,1441.8921300330712,1658.4993683291138
-23.990523489932887,-46.82290604026846,1501.3531200101186,1670.7266292858683
-23.986154362416105,-46.82290604026846,1562.5877563429417,1682.8990236187196
-23.981785234899327,-46.82290604026846,1625.614237103507,1695.014046428251
-23.97741610738255,-46.82290604026846,1690.4491071107027,1707.0691895351115
